PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PEERNPER,PRERNHLY,PEERNHRO
45018,42,17,52,6,2,39,1,1,16980,1,1400,40
45112,6,21,80,3,1,31,1,1,16980,1,1200,40
45133,21,17,42,6,1,34,3,1,16980,1,1050,50
45155,40,8,53,5,2,44,2,1,16980,1,7212,40
45192,22,17,20,6,2,40,2,1,16980,1,900,40
45223,46,13,30,6,1,39,1,1,16980,1,1575,40
45357,13,22,46,4,2,38,1,1,16980,1,705,60
45358,22,16,24,6,1,37,1,1,16980,1,1400,40
45359,46,13,24,6,1,39,1,1,16980,1,925,40
45360,47,20,24,6,1,39,1,1,16980,1,1050,40
45361,4,19,25,6,1,40,1,1,16980,1,1850,60
45389,6,21,41,2,1,39,2,1,16980,1,1450,40
45420,44,15,15,6,1,35,2,2,16980,1,1000,12
45421,44,15,15,6,1,35,2,2,16980,1,1000,12
45489,38,12,24,6,2,39,2,1,16980,1,900,40
45542,21,16,58,1,1,39,1,1,16980,1,1200,40
45677,6,21,45,6,1,39,1,1,16980,1,2000,40
45739,42,10,29,6,2,44,1,1,16980,1,4100,40
45740,4,19,28,6,1,44,1,2,16980,1,1000,32
45772,51,17,37,6,2,42,2,1,16980,1,1680,40
45941,4,19,28,1,1,40,1,1,16980,1,1850,60
46023,4,19,46,1,1,39,1,1,16980,1,4563,40
46028,22,16,43,5,2,40,1,1,16980,1,1400,35
46030,22,16,19,6,1,39,1,2,16980,1,1016,20
49081,44,16,22,6,1,40,2,2,26900,1,725,30
49123,46,13,20,6,1,36,1,2,26900,1,1000,10
49129,49,6,22,6,1,43,6,1,26900,1,1100,40
49135,42,11,41,6,2,39,2,1,26900,1,900,40
49136,23,17,18,6,1,37,2,2,26900,1,735,20
49137,38,22,21,6,2,39,2,2,26900,1,1235,25
49143,23,22,48,6,1,39,1,1,26900,1,1925,50
49146,46,17,19,6,2,39,1,2,26900,1,825,25
49155,16,17,51,1,2,40,1,1,26900,1,2200,40
49211,42,10,40,6,2,40,1,1,26900,1,1700,40
49267,41,10,39,6,2,43,1,1,26900,1,1200,40
49286,46,13,16,6,2,36,2,2,26900,1,735,8
49287,26,16,18,6,2,37,2,2,26900,1,735,15
49344,46,14,42,1,2,39,1,1,26900,1,735,40
49345,4,19,33,1,1,34,1,1,26900,1,1200,40
49375,44,15,22,6,2,40,1,2,26900,1,850,16
49465,22,16,18,6,2,39,1,2,26900,1,1000,15
49506,41,17,63,5,2,43,2,1,26900,1,1659,40
49587,42,11,36,1,2,39,1,1,26900,1,1150,68
53064,21,17,30,4,2,39,1,1,28140,1,1750,40
53067,42,10,40,6,2,39,1,1,28140,1,1820,40
53068,46,13,20,6,1,39,2,2,28140,1,875,20
53246,4,19,37,6,1,38,2,1,28140,1,1000,40
53247,23,22,40,1,1,40,1,1,28140,1,2700,55
53281,46,13,17,6,1,37,1,2,28140,1,800,25
57008,22,16,47,6,1,40,2,1,35380,1,1200,40
57015,22,16,32,6,2,40,2,2,35380,1,1000,25
57018,42,10,42,1,2,44,1,1,35380,1,2089,52
57192,22,16,31,5,1,44,2,1,35380,1,1325,40
57221,4,19,29,1,1,40,1,1,35380,1,1550,40
57226,22,16,31,6,1,40,2,1,35380,1,1100,40
57331,40,8,58,1,2,44,1,1,35380,1,2580,45
57351,48,17,65,1,2,43,2,1,35380,1,2048,40
57357,24,22,36,1,1,39,2,1,35380,1,1200,40
57358,42,10,33,1,2,42,2,1,35380,1,1840,40
57495,36,4,59,4,1,43,1,2,35380,1,5000,32
57499,4,19,48,5,2,35,1,1,35380,1,1500,40
62227,41,11,41,6,2,39,2,1,12580,1,900,40
63729,45,14,41,1,2,39,4,1,14460,1,2005,40
63834,46,13,24,6,1,39,1,1,14460,1,1200,35
63958,23,14,55,6,1,40,1,1,14460,1,3100,40
63960,41,11,38,4,2,40,2,1,14460,1,2412,36
63962,51,6,17,6,1,37,2,2,14460,1,1000,20
64007,23,22,48,1,1,39,2,2,14460,1,2500,30
64069,42,11,53,4,2,39,2,1,14460,1,900,40
64114,46,13,60,1,1,43,4,2,14460,1,800,30
64115,45,14,60,1,2,43,4,2,14460,1,6100,30
66887,51,20,45,1,1,39,2,1,19820,1,1600,40
66888,22,16,43,1,2,39,2,1,19820,1,1200,40
66915,36,17,51,1,2,40,1,1,19820,1,1205,40
66972,51,19,61,5,1,41,1,1,19820,1,4200,40
67034,46,14,55,1,2,39,2,1,19820,1,1000,40
67460,41,17,35,1,2,42,2,1,19820,1,1500,36
70289,46,13,53,1,1,37,1,1,33460,1,1100,40
70290,45,14,47,1,2,34,1,1,33460,1,1000,40
70389,42,11,37,6,2,42,2,1,33460,1,1600,40
70409,48,17,31,6,2,42,2,2,33460,1,1016,30
70426,36,3,28,6,1,39,1,1,33460,1,1325,40
70438,50,15,36,5,2,39,2,1,33460,1,2412,38
