PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PRUNEDUR,PRUNTYPE
123215,8,1,25,6,1,43,1,1,34980,8,4
123262,40,9,43,1,1,44,1,1,34980,52,5
125567,7,21,25,5,2,35,1,1,26420,3,2
125668,4,17,55,3,2,40,4,2,26420,7,4
125779,22,16,21,6,2,39,1,1,19100,6,4
125810,40,5,21,6,1,40,1,1,19100,39,2
125835,33,2,32,6,1,44,1,1,19100,31,2
125838,33,1,28,1,2,43,1,1,19100,28,2
125859,23,22,51,1,1,39,1,1,19100,1,2
126117,-1,-1,18,6,1,36,2,1,26420,8,6
126280,46,13,24,6,1,39,1,1,26420,3,5
126296,47,22,54,6,1,36,2,1,26420,21,5
126509,4,19,45,1,1,35,1,1,26420,12,2
126511,27,9,23,6,1,39,1,1,26420,32,3
126530,42,10,32,4,2,44,2,1,19100,8,1
126630,40,8,70,1,2,43,1,2,26420,3,3
126694,46,1,36,1,1,43,1,1,26420,3,5
126701,22,16,68,3,1,39,1,2,26420,3,1
126708,-1,-1,19,6,1,39,1,1,19100,119,6
126828,22,16,27,6,2,39,2,1,26420,34,5
127047,43,15,22,1,2,39,1,1,19100,4,5
127162,40,8,31,6,2,43,4,1,19100,5,2
127329,46,13,61,6,1,40,2,1,26420,4,1
127511,-1,-1,17,6,1,37,2,2,19100,3,6
127592,38,17,66,4,1,43,1,2,26420,119,3
127600,44,9,53,1,1,41,1,1,19100,5,1
127721,23,2,29,6,2,43,2,1,26420,30,5
127836,23,22,56,1,2,38,2,1,26420,6,5
127837,44,14,57,1,1,37,2,1,26420,8,5
127839,22,17,23,6,1,39,2,1,26420,4,3
127853,-1,-1,25,6,2,40,1,1,19100,5,6
127869,47,22,29,6,1,39,1,1,19100,8,3
127956,4,19,47,2,1,40,1,1,19100,1,2
127959,40,8,40,4,2,40,1,1,26420,39,2
127962,-1,-1,19,6,1,40,1,1,26420,8,6
127970,23,22,46,1,1,39,4,1,19100,4,3
127995,48,15,35,5,1,43,2,1,26420,35,5
128123,40,1,39,5,2,46,1,1,19100,4,2
128135,41,10,23,6,2,45,1,1,26420,8,5
128217,-1,-1,18,6,2,39,1,2,26420,4,6
128223,40,5,23,6,2,40,4,2,26420,13,5
128372,4,19,20,6,1,39,1,1,19100,39,5
128669,4,17,32,5,2,39,1,2,26420,1,5
128701,4,19,31,6,1,36,1,1,26420,12,2
128707,6,21,28,6,1,40,1,1,19100,52,4
128759,-1,-1,18,6,1,40,1,1,26420,3,6
128765,22,21,56,5,1,44,1,1,26420,13,2
128797,4,19,22,6,1,40,1,1,26420,119,2
128799,38,21,23,6,1,39,1,1,19100,13,3
128890,-1,-1,18,6,1,37,1,1,19100,3,6
138727,40,10,51,1,2,44,2,1,47260,8,1
138822,23,17,40,1,2,39,1,2,47260,17,4
138852,23,22,51,6,1,39,1,1,47260,61,2
138914,38,14,49,6,1,40,1,1,47260,52,3
138932,40,22,36,6,1,39,2,1,47260,9,1
138947,23,15,51,1,1,40,5,1,47260,8,2
138948,42,15,39,1,2,39,5,1,47260,39,4
138959,40,8,43,1,2,44,4,1,47260,8,1
138977,10,22,65,2,2,37,3,1,47260,52,1
139043,49,12,43,5,2,43,1,1,47260,12,3
139046,-1,-1,61,1,2,41,1,1,47260,16,6
139226,22,16,22,6,2,39,2,2,47260,2,5
139245,46,13,19,1,2,39,1,1,47260,4,4
142135,40,8,69,1,1,43,2,2,42660,2,3
142194,-1,-1,37,4,1,40,2,2,42660,12,6
142264,46,22,22,6,1,43,1,1,42660,3,5
147717,32,16,29,2,1,41,3,1,33340,9,2
147803,22,22,35,6,1,34,2,1,33340,119,2
147849,40,17,45,1,2,40,2,2,33340,2,1
147867,13,21,36,6,1,40,2,1,33340,21,2
147869,40,22,17,6,2,40,2,1,33340,52,2
