PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,GTCBSA,PRFTLF,PRUNEDUR,PRUNTYPE,PELKM1,PULKM2,PULKM3,PULKM4,PULKM5,PULKM6
29378,22,17,55,1,2,39,2,47900,1,117,2,1,2,4,-1,-1,-1
29379,22,17,24,6,1,39,2,47900,1,65,2,1,2,4,-1,-1,-1
29424,42,10,29,6,2,42,2,47900,1,16,5,6,-1,-1,-1,-1,-1
29520,-1,-1,22,6,1,40,2,47900,2,26,6,6,5,-1,-1,-1,-1
29521,38,12,28,6,2,39,2,47900,1,16,5,6,8,10,9,-1,-1
29526,38,14,21,6,1,40,2,47900,2,3,5,1,4,6,-1,-1,-1
29554,38,14,21,6,1,40,3,47900,1,13,5,1,2,3,4,5,6
29630,24,1,52,1,1,40,1,47900,1,104,2,6,1,-1,-1,-1,-1
29749,42,14,67,4,1,42,2,47900,1,21,5,10,6,-1,-1,-1,-1
29793,4,19,65,4,1,40,2,47900,1,52,5,2,4,-1,-1,-1,-1
29800,46,13,16,6,1,36,2,47900,1,52,5,1,6,2,-1,-1,-1
29818,41,14,21,6,1,39,2,47900,1,16,5,6,8,10,1,-1,-1
29906,22,16,62,6,2,39,2,47900,1,22,2,6,-1,-1,-1,-1,-1
29919,22,10,34,2,2,40,16,47900,2,8,2,6,10,-1,-1,-1,-1
29940,51,7,29,1,2,43,1,47900,2,1,5,1,6,11,5,-1,-1
29956,40,8,53,1,1,40,2,47900,1,4,3,1,-1,-1,-1,-1,-1
30015,22,17,21,6,1,39,2,47900,1,12,5,1,6,8,2,-1,-1
30044,38,14,38,6,1,39,2,47900,1,12,3,10,-1,-1,-1,-1,-1
30098,-1,-1,23,6,1,44,4,47900,1,16,6,1,6,4,10,-1,-1
30099,-1,-1,28,6,1,44,4,47900,1,8,6,1,6,10,-1,-1,-1
30110,36,2,24,6,1,44,2,47900,1,8,5,6,7,8,10,-1,-1
30116,40,8,58,3,1,44,1,47900,1,8,3,10,6,-1,-1,-1,-1
30117,22,16,22,6,2,43,1,47900,1,7,5,1,-1,-1,-1,-1,-1
30129,46,13,28,6,2,40,2,47900,1,6,2,1,2,3,4,5,6
30135,49,13,32,6,2,40,2,47900,1,52,2,6,10,-1,-1,-1,-1
30184,38,16,29,6,2,39,2,47900,1,52,3,6,4,-1,-1,-1,-1
30263,34,20,68,4,1,35,2,47900,1,39,2,6,-1,-1,-1,-1,-1
30517,22,17,39,6,1,39,1,45300,1,52,2,1,6,-1,-1,-1,-1
30518,47,17,64,4,2,39,1,45300,1,119,2,1,6,-1,-1,-1,-1
30842,14,1,31,1,2,39,1,45300,2,6,4,1,6,4,-1,-1,-1
30872,43,15,16,6,2,36,2,33100,1,3,5,1,-1,-1,-1,-1,-1
31262,22,16,52,6,1,42,1,45300,1,119,2,10,-1,-1,-1,-1,-1
31415,45,17,32,6,1,40,1,45300,1,2,4,1,6,-1,-1,-1,-1
31506,22,17,27,6,1,39,1,33100,1,4,2,1,6,-1,-1,-1,-1
31522,21,16,40,1,2,33,2,33100,1,30,4,4,-1,-1,-1,-1,-1
31523,21,16,42,1,1,33,2,33100,1,30,4,4,-1,-1,-1,-1,-1
31829,38,14,34,6,2,39,1,33100,1,2,3,4,8,1,10,-1,-1
37010,36,17,63,4,2,42,2,12060,1,13,5,4,1,9,2,5,-1
37110,48,15,65,6,2,44,1,12060,1,91,2,1,4,6,8,10,-1
37142,22,17,24,6,1,39,2,12060,1,65,2,1,2,4,6,8,10
37149,46,16,20,1,2,39,2,12060,1,69,2,1,2,4,6,8,10
37150,4,19,19,1,1,38,2,12060,1,78,2,1,2,4,6,10,-1
45016,47,20,16,6,1,36,1,16980,1,8,5,1,-1,-1,-1,-1,-1
45098,38,16,55,1,1,43,1,16980,1,119,4,4,5,6,8,10,-1
45115,40,9,29,2,2,44,1,16980,1,65,4,6,4,-1,-1,-1,-1
45206,4,19,29,1,1,37,1,16980,1,7,3,1,-1,-1,-1,-1,-1
45210,40,8,26,1,2,43,1,16980,2,48,2,4,10,-1,-1,-1,-1
45233,40,8,22,1,2,43,1,16980,2,2,4,10,1,6,-1,-1,-1
45250,46,22,27,6,1,37,1,16980,1,65,4,1,6,-1,-1,-1,-1
45352,46,13,51,4,2,41,1,16980,1,61,5,1,10,-1,-1,-1,-1
45394,40,15,32,6,2,40,2,16980,1,4,5,1,-1,-1,-1,-1,-1
45436,-1,-1,20,6,1,40,1,16980,1,56,6,6,-1,-1,-1,-1,-1
45451,32,17,25,6,2,43,2,16980,1,2,2,12,3,6,-1,-1,-1
45455,38,21,40,6,2,38,1,16980,1,16,3,1,6,-1,-1,-1,-1
45467,38,22,35,6,1,39,2,16980,1,104,3,6,2,10,-1,-1,-1
45470,38,22,47,1,1,39,2,16980,1,104,3,2,6,10,-1,-1,-1
45475,38,22,46,1,2,39,2,16980,1,104,3,2,6,10,-1,-1,-1
45561,45,15,25,1,1,40,1,16980,1,13,2,6,11,-1,-1,-1,-1
45631,38,2,67,4,1,43,1,16980,1,52,4,10,2,5,-1,-1,-1
45632,14,22,51,1,2,34,1,16980,1,108,5,6,1,-1,-1,-1,-1
45633,35,20,52,1,1,39,1,16980,1,119,5,6,-1,-1,-1,-1,-1
45724,38,22,21,6,1,39,2,16980,1,0,5,1,10,6,-1,-1,-1
45880,4,19,49,6,1,39,2,16980,1,26,5,6,4,-1,-1,-1,-1
45890,-1,-1,20,6,1,39,2,16980,1,0,6,1,6,-1,-1,-1,-1
45891,46,16,20,6,2,39,2,16980,1,119,5,1,4,6,-1,-1,-1
45895,48,15,37,6,2,39,2,16980,1,4,5,6,-1,-1,-1,-1,-1
45988,44,16,25,6,2,39,3,16980,1,3,3,1,12,-1,-1,-1,-1
46013,-1,-1,18,6,1,39,1,16980,1,8,6,6,1,-1,-1,-1,-1
46017,34,1,54,4,2,43,2,16980,1,119,5,1,6,-1,-1,-1,-1
46018,16,9,24,6,2,40,2,16980,1,4,3,1,-1,-1,-1,-1,-1
49247,36,1,34,6,2,45,2,26900,1,1,5,1,-1,-1,-1,-1,-1
49252,46,13,20,6,1,39,6,26900,1,43,5,1,6,-1,-1,-1,-1
49281,40,8,36,1,2,44,2,26900,1,1,4,6,-1,-1,-1,-1,-1
49391,38,1,58,4,2,40,1,26900,1,8,2,10,9,4,-1,-1,-1
49455,48,22,19,6,1,40,1,26900,1,7,5,1,10,-1,-1,-1,-1
49562,51,17,46,2,2,39,1,26900,1,4,4,1,10,-1,-1,-1,-1
53294,38,16,25,6,1,40,2,28140,2,52,5,6,1,-1,-1,-1,-1
57099,22,13,41,6,2,39,2,35380,1,6,4,4,10,-1,-1,-1,-1
57217,46,16,24,6,2,39,2,35380,1,1,5,6,2,-1,-1,-1,-1
57371,38,14,51,6,1,39,2,35380,1,26,3,4,8,-1,-1,-1,-1
57411,22,16,37,6,2,41,2,35380,1,2,4,1,6,-1,-1,-1,-1
57489,40,6,47,1,1,43,1,35380,1,16,4,4,5,6,7,10,-1
57504,43,6,69,3,1,40,1,35380,2,12,5,4,-1,-1,-1,-1,-1
57526,4,19,29,1,1,39,3,35380,1,2,2,1,4,8,-1,-1,-1
57592,14,5,51,1,1,42,6,35380,1,2,3,1,-1,-1,-1,-1,-1
61853,22,16,40,6,2,39,2,12580,1,5,4,1,-1,-1,-1,-1,-1
61856,22,16,44,6,2,39,2,12580,2,6,2,1,-1,-1,-1,-1,-1
62216,4,20,50,1,1,36,1,12580,1,13,2,1,6,-1,-1,-1,-1
62243,51,1,58,4,2,43,2,12580,1,8,3,1,-1,-1,-1,-1,-1
63720,-1,-1,16,6,1,43,1,14460,1,10,6,12,-1,-1,-1,-1,-1
63748,46,16,25,6,2,40,1,14460,1,30,5,6,-1,-1,-1,-1,-1
66838,14,13,55,3,2,40,2,19820,1,16,2,2,6,-1,-1,-1,-1
66927,22,17,26,6,2,36,1,19820,1,2,5,1,9,-1,-1,-1,-1
67137,22,16,18,6,2,37,2,19820,1,13,5,6,-1,-1,-1,-1,-1
