PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PEHRUSL1,PEHRUSLT
10413,38,14,51,4,2,39,4,1,41860,40,40
10416,26,2,37,1,1,43,1,1,41860,40,40
10417,36,7,29,1,2,44,1,1,41860,40,40
10418,41,10,32,6,1,43,4,1,41740,46,46
10419,42,11,57,1,2,39,4,1,41740,39,39
10420,51,14,67,1,1,41,4,1,41740,40,40
10425,36,16,36,6,1,44,1,1,31080,50,50
10435,9,1,37,1,1,39,1,1,40140,50,50
10436,6,1,37,1,2,43,1,1,40140,50,50
10440,44,17,57,4,2,40,4,1,41740,40,40
10441,48,1,26,6,1,40,1,1,41740,40,40
10442,51,20,51,4,1,40,1,1,41740,40,40
10445,10,3,56,4,1,43,1,1,31080,40,40
10446,48,15,26,6,2,39,1,2,31080,19,19
10447,38,12,55,6,1,39,2,1,41740,40,40
10448,6,20,31,1,2,34,1,1,31080,40,40
10449,38,14,34,1,1,34,1,1,31080,40,40
10465,43,15,85,3,2,40,1,2,40140,30,30
10467,22,1,66,4,1,37,1,1,40140,40,40
10468,43,2,65,1,2,43,2,1,41860,40,40
10469,47,21,70,1,1,39,1,2,41860,20,20
10472,26,9,46,6,1,40,1,1,31080,40,40
10473,13,1,33,6,2,39,1,1,31080,40,40
10474,13,21,47,6,1,39,1,1,31080,40,40
10476,32,16,23,6,2,40,1,2,31080,32,32
10477,38,17,70,1,1,43,1,1,41740,40,40
10478,38,1,56,1,2,43,1,1,41740,40,40
10479,45,13,17,6,1,39,1,2,41740,30,30
10480,44,15,21,6,1,40,1,2,41740,24,24
10481,33,17,37,6,2,40,1,2,41740,30,30
10485,40,8,40,1,1,46,4,1,41740,40,40
10491,22,9,74,1,1,41,1,2,31080,15,15
10496,36,4,63,1,1,43,1,1,41740,40,40
10497,42,6,55,1,2,43,1,1,41740,40,40
10499,51,14,58,6,1,43,1,1,40140,40,40
10500,41,9,58,4,2,43,8,1,40140,40,40
10501,38,20,60,1,1,43,4,1,31080,-4,-4
10505,22,10,30,6,2,46,4,1,31080,40,40
10506,22,16,28,6,1,43,2,1,41860,40,40
10509,36,4,36,1,1,43,4,1,41860,40,40
10512,40,8,62,1,2,40,4,1,41860,40,40
10514,50,14,53,4,2,35,1,2,31080,25,25
10518,23,1,42,1,1,39,4,1,41860,40,40
10521,23,14,38,1,2,42,4,1,41860,40,40
10522,36,16,28,1,2,43,1,1,41860,40,40
10523,36,16,31,1,1,43,1,1,41860,45,45
10525,36,1,54,6,1,44,1,1,41860,45,45
10527,36,3,35,1,1,43,4,1,31080,40,40
10530,23,17,58,3,2,38,5,1,41740,40,40
10533,40,1,50,2,1,46,1,1,31080,50,50
10535,19,5,28,6,2,43,4,1,41740,40,40
10536,36,10,27,6,1,43,4,1,41740,40,40
10537,46,13,27,6,2,43,4,1,31080,35,35
10538,44,13,28,6,1,40,1,1,31080,40,40
10539,22,21,34,1,1,34,4,1,41740,36,36
10544,36,4,44,4,1,43,1,1,41740,50,50
10549,40,8,24,6,1,43,1,1,41740,50,50
10550,40,5,23,6,1,43,1,1,41740,50,50
10551,23,17,54,4,1,40,1,1,41740,-4,-4
10555,22,16,50,2,2,34,1,2,41940,17,17
10558,4,4,35,6,2,43,1,1,31080,40,40
10568,44,9,28,5,1,42,1,1,31080,-4,-4
10569,44,9,31,6,1,42,1,1,31080,-4,-4
10573,46,13,27,6,1,40,1,2,31080,24,24
10575,46,13,28,6,2,43,1,1,31080,45,45
10576,44,9,34,6,1,43,2,1,31080,40,40
10577,14,22,50,1,2,33,1,1,31080,40,40
10578,47,20,44,1,1,33,1,1,31080,40,40
